iter	Passed	Remaining
0	132	13094
1	133	6541
2	134	4357
3	135	3254
4	137	2603
5	138	2163
6	139	1851
7	140	1616
8	141	1432
9	143	1287
10	144	1167
11	145	1066
12	146	980
13	147	905
14	148	841
15	149	785
16	150	734
17	151	691
18	153	653
19	154	617
20	155	584
21	156	554
22	157	526
23	158	500
24	158	476
25	159	453
26	160	432
27	160	412
28	161	394
29	161	377
30	162	360
31	162	345
32	163	331
33	163	317
34	163	304
35	164	292
36	165	281
37	165	270
38	166	260
39	167	250
40	167	241
41	168	232
42	168	223
43	169	215
44	169	207
45	170	199
46	170	192
47	171	185
48	171	178
49	172	172
50	172	166
51	173	160
52	173	154
53	174	148
54	174	143
55	175	137
56	175	132
57	176	127
58	177	123
59	177	118
60	178	114
61	179	109
62	179	105
63	180	101
64	180	97
65	181	93
66	181	89
67	182	85
68	183	82
69	183	78
70	184	75
71	184	71
72	185	68
73	185	65
74	186	62
75	186	58
76	187	55
77	187	52
78	187	49
79	188	47
80	188	44
81	189	41
82	190	38
83	190	36
84	191	33
85	191	31
86	192	28
87	193	26
88	193	23
89	194	21
90	194	19
91	195	17
92	196	14
93	196	12
94	197	10
95	197	8
96	198	6
97	198	4
98	199	2
99	199	0
